"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.005,"ER","1","1",150,57,0,8,0,3,0.76,0,-1.50579080400459e-15,-1.33480753526843e-15,-1,0.943059402893198,7,0.00119972682019437,0,0.502754139781758,1.98904379073655,0.982633653375845,0.0150335570469799,1.25333333333333,0,2.06611570247934,86.373561862349,0,0,0,0,0,-0.172124904798172
"2",0.005,"ER","1","1",150,56,0,7,0,3,0.746666666666667,0,-1.7195968379914e-15,-1.29921100280586e-15,-1,0.946428571428571,6,0.000763296515740099,0,0.517638090205042,1.93185165257814,0.964684085356927,0.0151230425055928,1.15333333333333,0,1.85714285714286,87.107557982704,0,0,0,0,0,-0.00311526479750776
"3",0.005,"ER","1","1",150,50,0,9,0,3,0.666666666666667,0,-1.48673467630608e-15,-1.03943201182829e-15,-1,0.9224,7,0.00164163532930706,0,0.496200083093186,2.0153160671926,0.980505180516494,0.0156599552572707,1.2,0,2.25409836065574,76.960706441473,0,0,0,0,0,0.0416666666666667
"4",0.005,"ER","1","1",150,44,0,6,0,3,0.586666666666667,0,-1.56691699758347e-15,-8.99306669530279e-16,-1,0.942148760330578,4,0.000606863338271833,0,0.525731112119133,1.90211303259031,0.987533332989371,0.0161968680089485,0.853333333333333,0,1.67948717948718,69.518234668241,0,0,0,0,0,-0.00653594771241819
"5",0.005,"ER","1","1",150,40,0,7,0,3,0.533333333333333,0,-9.33125600697165e-16,-1.0617338014479e-15,-1,0.94,5,0.00097755518682504,0,0.507713305942872,1.96961550602442,0.985681423276462,0.0165548098434004,0.72,0,1.64705882352941,64.9037037568265,0,0,0,0,0,-0.0142630744849445
"6",0.005,"ER","1","1",150,38,0,6,0,3,0.506666666666667,0,-1.25800989619591e-15,-8.17841065364333e-16,-1,0.941828254847645,5,0.000526516336614981,0,0.541196100146197,1.84775906502257,0.991473157923002,0.0167337807606264,0.68,0,1.57377049180328,62.0131601475987,0,0,0,0,0,-0.0762527233115469
"7",0.005,"ER","1","1",150,44,0,18,0,5,0.586666666666667,0,-1.45630394339075e-15,-7.98361648957034e-16,-1,0.84426652892562,9,0.00849791280402514,0,0.386198262328117,2.58934360287306,0.97191266056708,0.0296196868008949,1.26666666666667,0,3.20603015075377,62.4554488052177,0,0,0,0,0,0.0897887323943662
"8",0.005,"ER","1","1",150,65,0,11,0,4,0.866666666666667,0,-1.12984124618616e-15,-1.13478807966597e-15,-1,0.930177514792899,7,0.00230936760822802,0,0.463684383195856,2.15663937850934,0.986603811755873,0.0210290827740492,1.58,0,2.42222222222222,95.5306002008933,0,0,0,0,0,-0.115054717539189
"9",0.005,"ER","1","1",150,62,0,31,0,4,0.826666666666667,0,-1.75109885910628e-15,-1.38082827621709e-15,-1,0.848465140478668,12,0.0245685305142086,0,0.403742739282121,2.47682472699834,0.944117900548466,0.0212975391498881,2.67333333333333,0,4.85767097966728,85.0904103726311,0,0,0,0,0,0.0350877192982456
"10",0.005,"ER","1","1",150,53,0,19,0,4,0.706666666666667,0,-1.64542710785955e-15,-9.83598994294098e-16,-1,0.880206479174083,8,0.00887103941020431,0,0.418783065126818,2.38787115161205,0.965329618722657,0.0221029082774049,1.52,0,3.37037037037037,73.7244730397895,0,0,0,0,0,-0.080606922712186
"11",0.005,"ER","1","1",150,56,0,7,0,4,0.746666666666667,0,-1.63476683897355e-15,-1.05616776123403e-15,-1,0.9375,5,0.00111572768209857,0,0.468213192462136,2.13577920506986,0.988531540419739,0.021834451901566,1.2,0,1.92857142857143,82.7360372862384,0,0,0,0,0,-0.159763313609468
"12",0.005,"ER","1","1",150,58,0,11,0,3,0.773333333333333,0,-1.62796075410093e-15,-1.22730913411977e-15,-1,0.938168846611177,8,0.0023598888289668,0,0.482087254297396,2.07431329305194,0.967838077976451,0.0149440715883669,1.33333333333333,0,2.30075187969925,90.3560042803415,0,0,0,0,0,0.0147710487444609
"13",0.005,"ER","1","1",150,60,0,10,0,4,0.8,0,-2.02934607537467e-15,-9.979039199409e-16,-1,0.937777777777778,6,0.00237023654887715,0,0.442555113066583,2.25960557335047,0.981755468258457,0.0214765100671141,1.36,0,2.09859154929577,89.0346465821627,0,0,0,0,0,-0.033402922755741
"14",0.005,"ER","1","1",150,60,0,11,0,4,0.8,0,-1.52044111303087e-15,-1.77635191034721e-15,-1,0.926111111111111,7,0.0028851877867688,0,0.437573144078419,2.28533220910099,0.981828890230656,0.0214765100671141,1.36666666666667,0,2.28834355828221,91.6842099369792,0,0,0,0,0,0.0534979423868313
"15",0.005,"ER","1","1",150,53,0,7,0,3,0.706666666666667,0,-1.77668392549639e-15,-1.20467952240609e-15,-1,0.944820220719117,5,0.000953816299971879,0,0.507713305942872,1.96961550602442,0.985681423276462,0.0153914988814318,1.06666666666667,0,1.79807692307692,81.2758830315013,0,0,0,0,0,-0.0843989769820972
"16",0.005,"ER","1","1",150,52,0,7,0,3,0.693333333333333,0,-1.34446794355756e-15,-1.12244713705622e-15,-1,0.94008875739645,4,0.000958077125817318,0,0.468213192462136,2.13577920506986,0.987050299922471,0.0154809843400447,0.973333333333333,0,1.74509803921569,79.8286414525539,0,0,0,0,0,0.0915443745632425
"17",0.005,"ER","1","1",150,46,0,16,0,3,0.613333333333333,0,-1.44387511911046e-15,-9.81781105439114e-16,-1,0.888705103969754,11,0.00575941916422075,0,0.456850251747857,2.18890105931673,0.966961894705174,0.0160178970917226,1.46666666666667,0,3.57647058823529,71.581953930559,0,0,0,0,0,0.259469696969697
"18",0.005,"ER","1","1",150,55,0,19,0,5,0.733333333333333,0,-1.67357705884765e-15,-1.08839228408877e-15,-1,0.898347107438016,8,0.00845347847735128,0,0.373709363416311,2.675876223326,0.973729328603569,0.0286353467561521,1.42,0,3.28571428571429,79.9286504342936,0,0,0,0,0,0.0856579318117781
"19",0.005,"ER","1","1",150,56,0,9,0,3,0.746666666666667,0,-1.71598014428539e-15,-1.36071499060959e-15,-1,0.928571428571429,5,0.00163920057168109,0,0.472392628889423,2.11688315787433,0.978135600300344,0.0151230425055928,1.22,0,2.12142857142857,83.8494980511095,0,0,0,0,0,-0.0216962524654833
"20",0.005,"ER","1","1",150,56,0,25,0,5,0.746666666666667,0,-1.40403989182118e-15,-1.04034962733105e-15,-1,0.866709183673469,9,0.0156098398294696,0.0588235294117647,0.380765768493498,2.6262865066797,0.951952304002499,0.0285458612975391,1.74666666666667,0,4.0316091954023,82.4170950101936,0,0.02,0.140469013039037,1,3,0.116290361738286
"21",0.005,"ER","1","1",150,58,0,11,0,5,0.773333333333333,0,-1.6808777717507e-15,-1.30729602452089e-15,-1,0.925683709869203,7,0.00252606103693893,0,0.434258545910665,2.30277563773199,0.988263282542955,0.0283668903803132,1.35333333333333,0,2.2987012987013,86.2762696196426,0,0,0,0,0,-0.12683874548987
"22",0.005,"ER","1","1",150,61,0,27,0,4,0.813333333333333,0,-9.90994094641619e-16,-1.08519410393116e-15,-1,0.854205858640151,13,0.016630003274749,0,0.385157123840024,2.59634299381505,0.952626346946836,0.0213870246085011,2.48,0,4.74457831325301,82.7882645059747,0,0,0,0,0,-0.0338983050847457
"23",0.005,"ER","1","1",150,52,0,33,0,6,0.693333333333333,0,-1.26321599716152e-15,-9.35280596523512e-16,-1,0.79215976331361,11,0.0303090803068282,0,0.364296013041376,2.74502043448503,0.965770037408524,0.0356152125279642,2.20666666666667,0,4.78776978417266,71.3108792404251,0,0,0,0,0,0.017358822236871
"24",0.005,"ER","1","1",150,46,0,7,0,3,0.613333333333333,0,-1.38217577021722e-15,-8.4019257527957e-16,-1,0.931947069943289,5,0.000953207610565387,0,0.507713305942873,1.96961550602442,0.985681423276462,0.0160178970917226,0.966666666666667,0,1.88421052631579,68.8051976929087,0,0,0,0,0,-0.190938511326861
"25",0.005,"ER","1","1",150,53,0,8,0,3,0.706666666666667,0,-1.10016708186949e-15,-1.19702250534143e-15,-1,0.924884300462798,5,0.00137563805867035,0,0.487120333776205,2.05288084003372,0.984681077139113,0.0153914988814318,1.2,0,2.06060606060606,78.4015531672649,0,0,0,0,0,-0.0707070707070706
"26",0.005,"ER","1","1",150,60,0,7,0,4,0.8,0,-1.28645271162314e-15,-1.43602077903749e-15,-1,0.947777777777778,4,0.0010359893698482,0,0.475963149477967,2.10100298961546,0.988429953083161,0.0214765100671141,1.21333333333333,0,1.79032258064516,90.5966338011187,0,0,0,0,0,-0.159929701230228
"27",0.005,"ER","1","1",150,54,0,11,0,3,0.72,0,-1.69574979747351e-15,-1.11432540974481e-15,-1,0.912894375857339,9,0.00249197443017541,0,0.491243968216182,2.0356484042567,0.975996574280679,0.0153020134228188,1.49333333333333,0,2.66233766233766,82.228681201471,0,0,0,0,0,0.105421686746988
"28",0.005,"ER","1","1",150,58,0,28,0,4,0.773333333333333,0,-1.54771643736654e-15,-8.72014462001602e-16,-1,0.844678953626635,12,0.0198645787808438,0,0.396405038449575,2.52267227457859,0.964279351362903,0.02165548098434,2.4,0,4.94252873563218,79.3605291439118,0,0,0,0,0,-0.0495545657015592
"29",0.005,"ER","1","1",150,57,0,10,0,5,0.76,0,-1.11992266552304e-15,-1.01561831203378e-15,-1,0.927054478301016,7,0.00198250139694219,0,0.437016024448821,2.28824561127074,0.989700583859658,0.0284563758389262,1.35333333333333,0,2.31292517006803,83.9753118680627,0,0,0,0,0,-0.202051866628669
"30",0.005,"ER","1","1",150,61,0,15,0,4,0.813333333333333,0,-1.56753268339036e-15,-1.46002594594207e-15,-1,0.905267401236227,9,0.00475386426469711,0,0.439292380118698,2.27638822173468,0.98245682806177,0.0213870246085011,1.72666666666667,0,3.00913242009132,86.0138528706679,0,0,0,0,0,-0.0788158400615148
"31",0.005,"ER","1","1",150,60,0,13,0,3,0.8,0,-1.24313938920021e-15,-1.20706634989064e-15,-1,0.924305555555556,8,0.00339100868356307,0,0.453320229890039,2.20594611505109,0.961653513662785,0.0147651006711409,1.57333333333333,0,2.62209302325581,91.4444769337987,0,0,0,0,0,0.13594470046083
"32",0.005,"ER","1","1",150,77,0,19,0,4,1.02666666666667,0,-1.66851780970149e-15,-1.19775000971005e-15,-1,0.906645302749199,10,0.00745461916129904,0,0.433145695077409,2.30869199755359,0.978779650458998,0.0199552572706935,2.39333333333333,0,3.31412103746398,104.955477205739,0,0,0,0,0,-0.0950462194832897
