"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"ER",1,1,200,2016,1,200,11,31,20.16,11,9.51313816963777,0.598098210139089,0.00250079067888149,0.16531746523841,3,0.00756482046201105,0.0984022696729879,0.0477092999919786,20.9602739962257,0.398618670949707,0.0544723618090452,3,3,2.01185929648241,734.287014860181,3,19.77,9.34256482920722,59,3954,-0.00672098832519082
"2",2,0.1,"ER",1,1,200,1955,1,200,7,30,19.55,7,6.54002990813945,0.596902528239212,0.00247966534448503,0.150121990306186,3,0.00723374624204754,0.094216714331109,0.0491823667227217,20.3324904154726,0.369577842757283,0.0525125628140704,3,3,2.02939698492462,726.849689537204,1,17.79,8.24900785872255,40,3558,-0.0165300062093665
"3",3,0.1,"ER",1,1,200,1972,1,200,8,31,19.72,8,7.18546288660719,0.586757754927442,0.00247543836826899,0.166170453283083,3,0.00694467264394821,0.101354483184838,0.0482016982877792,20.7461569928447,0.38029592351991,0.0566834170854271,3,3,2.03371859296482,725.972633194456,2,19.68,9.39836401886817,50,3936,0.0031954940975298
"4",4,0.1,"ER",1,1,200,1969,1,200,10,31,19.69,10,8.91018642378961,0.601937724724404,0.00248043508395519,0.152433181556379,3,0.00779441422463998,0.0999948323084078,0.0484091510740857,20.6572513215444,0.351521315186859,0.0568341708542714,3,3,2.02939698492462,727.909259746585,2,19.35,9.26806263059455,45,3870,-0.0403785920668149
"5",5,0.1,"ER",1,1,200,1970,1,200,10,32,19.7,10,8.81657080955216,0.586052322261686,0.00247769375669568,0.159154191038161,3,0.00760623197018995,0.0964218847514042,0.0485634524377011,20.5916167365332,0.426001303953641,0.0618090452261307,3,3,2.03115577889447,728.293491909444,2,18.54,9.0425237727586,47,3708,0.0251564967579731
"6",6,0.1,"ER",1,1,200,1967,1,200,9,36,19.67,9,7.79277439190478,0.607364246549138,0.00247650521340132,0.150238983905514,3,0.0108579411314606,0.0949381912817176,0.0485409561956864,20.6011598941033,0.467145737072672,0.0820603015075377,3,3,2.03236180904523,727.543277050102,3,18.24,9.08211561920476,71,3648,0.0273170845559018
"7",7,0.1,"ER",1,1,200,1944,1,200,9,30,19.44,9,8.08376688561146,0.586595694683604,0.00247360445611836,0.165065639341902,3,0.00676818961708132,0.101622864476112,0.0493229743932281,20.2745274854571,0.373257982400551,0.0530653266331658,3,3,2.03452261306533,724.918321674798,1,19.005,9.05843536469083,46,3801,0.00178075509835669
"8",8,0.1,"ER",1,1,200,1939,1,200,9,30,19.39,9,8.07025016053286,0.595815252679767,0.00247054363695146,0.152810673983522,3,0.00838147079943852,0.0942210042717821,0.0494511634707098,20.2219711289969,0.348272182167213,0.0533165829145729,3,3,2.03693467336683,723.119858146982,2,17.535,8.35390409137184,47,3507,-0.0179754405319328
"9",9,0.1,"ER",1,1,200,1958,1,200,9,31,19.58,9,8.02031261672915,0.593239310097113,0.00247766007493033,0.157811357193609,3,0.00897139678900191,0.101540872290415,0.0486468137417356,20.5563308896029,0.37721392138567,0.0573869346733668,3,3,2.03165829145729,725.143046874167,1,19.44,9.32691571656567,46,3888,-0.0403960058159879
"10",10,0.1,"ER",1,1,200,1961,1,200,9,31,19.61,9,8.26759257975621,0.589885768263598,0.00247745879322784,0.159562644437516,3,0.00683311268055106,0.0992814810929879,0.0488152917940655,20.4853840517567,0.395599130497828,0.0572361809045226,3,3,2.03155778894472,728.987649344932,3,18.93,9.10712902044189,55,3786,0.0062761334072225
"11",11,0.1,"ER",1,1,200,1977,1,200,10,33,19.77,10,8.92038485297864,0.588705676980048,0.00248007863375334,0.162799354949138,3,0.00793130455413101,0.0997927461139896,0.0486214313527133,20.5670621406788,0.447679603680413,0.0664824120603015,3,3,2.0291959798995,728.125940384564,3,19.26,8.59369875498654,55,3852,0.0124990037940806
"12",12,0.1,"ER",1,1,200,1992,1,200,8,36,19.92,8,7.40334463615155,0.596562800449251,0.0024885441054316,0.167575296164578,3,0.0100976964126069,0.0988671472708548,0.0476000159083515,21.008396340148,0.486533723609498,0.0808040201005025,3,3,2.02261306532663,730.129408177229,2,19.68,9.98529572187356,62,3936,-0.0212001664178288
"13",13,0.1,"ER",1,1,200,1986,1,200,10,35,19.86,10,8.57185810754013,0.593801100800022,0.00249009306014767,0.155998205971508,3,0.0113174164894975,0.100560785607349,0.0479601281306836,20.8506532191733,0.431907942791277,0.0760804020100503,3,3,2.02145728643216,730.944934675398,3,19.815,9.54232965666047,66,3963,-0.0283391765764036
"14",14,0.1,"ER",1,1,200,1983,1,200,8,29,19.83,8,7.23588036672052,0.59572355333604,0.00248736559639753,0.157010077336635,3,0.0070812164043439,0.101847344282457,0.0482743398180317,20.7149389047983,0.348736482605714,0.0460804020100503,3,3,2.02341708542714,732.591146177146,2,19.875,9.63658100507315,50,3975,-0.00872550088796443
"15",15,0.1,"ER",1,1,200,1991,1,200,10,34,19.91,10,8.41870899273414,0.59662747700224,0.0024856606590641,0.143253757932797,3,0.0106803083165909,0.0975341369479318,0.0473403220838038,21.1236416649164,0.410804817438325,0.0708040201005025,3,3,2.02537688442211,727.330288996185,3,19.5,11.2999310710754,54,3900,-0.0120928387281379
"16",16,0.1,"ER",1,1,200,1995,1,200,7,32,19.95,7,6.45796350735088,0.587727044604567,0.00248487642545454,0.156134948901075,3,0.00665108982749806,0.102537740107327,0.0475158102862633,21.0456265814559,0.40819472464263,0.0605527638190955,3,3,2.02613065326633,730.407055128896,2,20.445,10.1232095631423,57,4089,0.0146593944086621
"17",17,0.1,"ER",1,1,200,1998,1,200,8,33,19.98,8,7.52471648840302,0.595641586285834,0.00249420367891158,0.161576491406321,3,0.00758831851627727,0.0995945261023822,0.048143159464957,20.7713829153213,0.444448776050542,0.065427135678392,3,3,2.01733668341709,733.747053838278,3,19.65,9.00237266323935,55,3930,-0.0159106351548532
"18",18,0.1,"ER",1,1,200,2004,1,200,10,32,20.04,10,8.59972704218641,0.597303450861191,0.00249202682838141,0.167590841271549,3,0.00850854299455617,0.103722010035198,0.0475996984630528,21.0085364464274,0.387713452387719,0.0601005025125628,3,3,2.01959798994975,732.334538046862,4,20.775,10.4060465124898,66,4155,-0.0301178341457844
"19",19,0.1,"ER",1,1,200,2017,1,200,5,33,20.17,5,4.61752407814331,0.599017707658126,0.00249535113727289,0.14843967574575,3,0.00871224244255792,0.103387636470215,0.0467876484340766,21.3731622226963,0.41215294776855,0.0644723618090452,3,3,2.01768844221106,734.211329303305,2,21.165,11.6553425539643,58,4233,0.0208666323129667
