(0.59917,0.371967),154
(0.597956,0.296448),203
(0.527588,0.320276),215
(0.55922,0.328081),587
(0.566407,0.367371),626
(0.529025,0.327131),632
(0.603904,0.311062),633
(0.552068,0.313189),642
(0.559085,0.276724),713
(0.518716,0.287778),732
(0.550132,0.269072),896
(0.681013,0.403383),37
(0.739183,0.464524),231
(0.640476,0.394891),672
(0.633092,0.484156),734
(0.700007,0.493174),841
(0.645139,0.492173),853
(0.639835,0.475655),898
(0.505507,0.401545),52
(0.50854,0.406489),83
(0.526162,0.40983),141
(0.508417,0.497425),179
(0.6108,0.44147),204
(0.517356,0.411444),592
(0.536024,0.43638),595
(0.600192,0.378154),750
(0.57971,0.451801),759
(0.589093,0.451556),778
(0.578192,0.394341),818
(0.557387,0.409934),914
(0.548451,0.441475),921
(0.515807,0.486693),926
(0.558249,0.486083),960
(0.569444,0.492142),962
(0.461856,0.319399),193
(0.462761,0.260281),218
(0.468295,0.3371),321
(0.384717,0.332127),394
(0.420675,0.313417),886
(0.397708,0.26277),935
(0.479387,0.263892),939
(0.494011,0.266049),999
(0.444265,0.425953),2
(0.430364,0.437854),49
(0.499155,0.487611),150
(0.39408,0.46445),281
(0.425514,0.475907),320
(0.398541,0.375291),391
(0.490633,0.438812),413
(0.483176,0.457612),968
(0.388526,0.448507),982
(0.283269,0.459171),15
(0.294143,0.38718),38
(0.330933,0.375849),233
(0.252584,0.438421),308
(0.374238,0.487925),314
(0.267451,0.379929),851
(0.708759,0.586437),56
(0.742711,0.563019),78
(0.670726,0.591681),85
(0.639278,0.597597),251
(0.646956,0.516332),260
(0.655524,0.558063),535
(0.641838,0.607722),643
(0.629497,0.572204),843
(0.650356,0.552279),867
(0.724139,0.556226),901
(0.561854,0.621643),197
(0.56605,0.572961),221
(0.520275,0.620022),257
(0.532749,0.617558),284
(0.518702,0.594767),290
(0.564541,0.522295),547
(0.577392,0.600892),625
(0.559159,0.573078),717
(0.524917,0.592503),761
(0.579249,0.536894),789
(0.600528,0.515354),794
(0.538462,0.619685),819
(0.534437,0.511706),934
(0.576617,0.744978),268
(0.540755,0.631145),273
(0.521749,0.71114),297
(0.551783,0.683661),533
(0.536042,0.672723),541
(0.57449,0.649004),605
(0.605902,0.650023),716
(0.503131,0.749715),749
(0.550156,0.664631),845
(0.548859,0.72313),920
(0.397989,0.621337),80
(0.434923,0.533335),166
(0.37634,0.519124),329
(0.41151,0.521015),341
(0.381317,0.6029),689
(0.43514,0.549888),779
(0.458854,0.513564),996
(0.321074,0.572677),188
(0.261279,0.501653),236
(0.270667,0.545551),376
(0.340337,0.566054),883
(0.257253,0.601481),917
(0.264759,0.532892),995
(0.429489,0.731072),16
(0.378357,0.668076),261
(0.394651,0.648061),267
(0.423564,0.645509),337
(0.469237,0.687839),645
(0.450955,0.67186),666
(0.450261,0.710194),668
(0.458534,0.674966),720
(0.447572,0.676157),922
(0.453721,0.787616),638
(0.438987,0.781462),712
(0.473308,0.788854),743
(0.249074,0.510451),259
(0.225201,0.59669),675
(0.22999,0.514941),993
(0.322848,0.688572),156
(0.268095,0.661962),181
(0.338676,0.728137),280
(0.275229,0.672806),312
(0.262955,0.683396),328
(0.261158,0.648916),370
(0.31863,0.670761),620
(0.325336,0.710089),835
(0.365096,0.629436),866
(0.319903,0.721449),887
(0.293536,0.629706),910
(0.605468,0.758358),223
(0.501418,0.798863),736
(0.660095,0.753186),305
(0.649434,0.757268),398
(0.638597,0.66803),177
(0.63851,0.694988),207
(0.658588,0.6789),212
(0.642429,0.723984),266
(0.63905,0.672119),578
(0.678492,0.652232),685
(0.637199,0.647394),725
(0.730723,0.668286),733
(0.65416,0.723203),753
(0.695809,0.722117),754
(0.718322,0.682747),820
(0.749807,0.642757),872
(0.637488,0.660886),899
(0.78417,0.578452),46
(0.772262,0.512999),352
(0.79526,0.549441),700
(0.783125,0.572597),705
(0.779472,0.552243),711
(0.780883,0.593041),875
(0.249098,0.374394),974
(0.311756,0.361353),171
(0.349884,0.275835),840
(0.333892,0.271694),869
(0.308576,0.319565),967
(0.316864,0.302266),991
(0.395955,0.230115),58
(0.480668,0.209685),61
(0.437492,0.214876),277
(0.493073,0.230153),847
(0.689191,0.351473),51
(0.712407,0.290905),139
(0.641794,0.363622),175
(0.714487,0.302532),184
(0.723642,0.34055),224
(0.703188,0.302873),275
(0.656837,0.271555),598
(0.685794,0.326632),622
(0.681722,0.317293),661
(0.710539,0.312659),677
(0.693077,0.28503),871
(0.724917,0.324249),930
(0.70968,0.329236),942
(0.77593,0.455671),71
(0.763325,0.410861),623
(0.756904,0.441449),636
(0.772373,0.478349),870
(0.754633,0.472119),892
(0.765796,0.364535),927
(0.516009,0.202214),191

